archivo,latitud,longitud,localidad,alcaldia_cercana,dist_alcaldia_m,dist_troncal_m,dist_camara_m
595de4a7e9a84b5091fc62f3e7e9510f.jpg,4.6021,-74.0758,CANDELARIA,Alcaldía Local de La Candelaria,506,16,516
9cb59bce7e474c5b9a7ee1e37507c4a0.jpg,4.63038,-74.07592,TEUSAQUILLO,Alcaldía Local de Teusaquillo,361,73,1405
d4d3f8b8dbf34f8997326b71200bbe03.jpeg,4.696361111111111,-74.08468611111111,SUBA,Alcaldía Local de Engativá,1791,32,1471
041dcb98d66c432d9c9d68fac5556975.jpeg,4.6024,-74.0662,CANDELARIA,Alcaldía Local de Santafé,634,56,971
4b4ae4cec28c4f7694893aa575a0c015.jpeg,4.5964,-74.0752,CANDELARIA,Alcaldía Local de La Candelaria,568,113,1114
4a15501084de42b2b8c97aa98fe5a7bf.jpeg,4.666358333333334,-74.07870555555556,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1057,34,531
82fa888d901d4b3db675aef0a15830bc.jpeg,4.607275,-74.074468,SANTA FE,Alcaldía Local de Santafé,486,1,81
5e40ee0dfd284240b30d4e91ee616b87.jpeg,4.738566666666666,-74.05756388888888,SUBA,Alcaldía Local de Suba,2954,134,1784
57fec4dd77d14b4f9bd9f27e39505a61.jpeg,4.694852777777778,-74.08158055555555,SUBA,Alcaldía Local de Engativá,2013,126,1166
79a936c38c4a4cfa9827202f3b073d77.jpg,4.63034,-74.07566,TEUSAQUILLO,Alcaldía Local de Teusaquillo,332,43,1424
fb3f60b8aee04ce990174c8f4678f9ce.jpg,4.6041,-74.0733,SANTA FE,Alcaldía Local de Santafé,442,5,265
34a71b5e19044521ad7e8ed98230ef07.jpeg,4.677638,-74.041867,CHAPINERO,Alcaldía Local de Usaquén,2250,185,419
6f28d90dd0084c89a9002684aca0f7c5.jpeg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
934cb1ad29304640841949576e2030fc.jpg,4.585689722222222,-74.13195138888888,TUNJUELITO,Alcaldía Local de Rafael Uribe Uribe,1960,4,716
27388d69e01f49eca2bde70d7159b31a.jpeg,4.68597138,-74.0648626,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,2133,80,789
