X,Y,FID,OBJECTID_1,ID_CÁMARA,NOMBRE_DEL,LONGITUD,LATITUD,DIRECCIÓN,NÚMERO_DE,VELOCIDADM,CORREDOR_P,VIA_SECUND,SENTIDO,CALZADA,CARRILES,LOCALIDAD,INFRACCION
-8250374.37414223,525132.734543094,27,27,DEI-013/CAM-01,AC 80 - KR 102 (E-O) C. RAP,-74.114374,4.712027,AC 80 - KR 102 (E-O),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Calle 80,KR 102,(Oriente - Occidente),Rápida,2,Engativá,C.29 - C.14 - C.35 - D.02
-8250333.96516708,525121.564843073,28,28,DEI-013/CAM-02,AC 80 - KR 102 (O-E) C. RAP,-74.114011,4.711927,AC 80 - KR 102 (O-E),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Calle 80,KR 102,(Occidente - Oriente),Rápida,2,Engativá,C.29 - C.14 - C.35 - D.02
-8255987.32550701,514215.225995884,29,29,DEI-014/CAM-01,AV 1 DE MAYO - CL 45 SUR (S-N),-74.164796,4.614278,AV 1 DE MAYO - CL 45 SUR (S-N),MT-20194000641171 Diciembre 26 de 2019.,40,Av. Primero de Mayo,CL 45 Sur,(Sur - Norte),Única,3,Kennedy,D.04 - D.02 - C.14 - C.35
-8255911.73957276,514258.446734938,30,30,DEI-014/CAM-02,AV 1 DE MAYO - CL 45 SUR (N-S),-74.164117,4.614665,AV 1 DE MAYO - CL 45 SUR (N-S),MT-20194000641171 Diciembre 26 de 2019.,40,Av. Primero de Mayo,CL 45 Sur,(Norte - Sur),Única,3,Kennedy,D.04 - D.02 - C.14 - C.35
-8248703.57990492,528159.782586347,31,31,DEI-015/CAM-01,AV CIUDAD DE CALI - CL 133A (N-S),-74.099365,4.739127,AV CIUDAD DE CALI - CL 135A (N-S),MT-20194000641171 Diciembre 26 de 2019.,30,Av. Ciudad de Cali,CL 133 A,(Norte - Sur),Única,3,Suba,D.04 - D.02 - C.14 - C.35
-8248705.91761422,528145.261408891,32,32,DEI-015/CAM-02,AV CIUDAD DE CALI - CL 133A (S-N),-74.099386,4.738997,AV CIUDAD DE CALI - CL 135A (S-N),MT-20194000641171 Diciembre 26 de 2019.,30,Av. Ciudad de Cali,CL 133 A,(Sur - Norte),Única,3,Suba,D.04 - D.02 - C.14 - C.35
-8246373.99692109,518100.943012444,33,33,DEI-016/CAM-01,NQS - CL 59 (N-S) C. RAP,-74.078438,4.64907,NQS - CL 58A (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. NQS,CL 59r,(Norte - Sur),Única,2,Teusaquillo,C.29 - C.14 - C.35 - D.02
-8246347.61420177,518100.161203728,34,34,DEI-016/CAM-02,NQS - CL 59 (S-N) C. LEN,-74.078201,4.649063,NQS - CL 58A (S-N),MT-No. 2024000013091 Enero 20 de 2020,50,Av. NQS,CL 59,(Sur - Norte),Única,4,Teusaquillo,C.29 - C.14 - C.35 - D.02
-8246416.29832759,518152.877466033,35,35,DEI-016/CAM-03,NQS - CL 59 (N-S) C. LEN,-74.078818,4.649535,NQS - CL 58A (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. NQS,CL 59,(Norte - Sur),Única,3,Teusaquillo,C.29 - C.14 - C.35 - D.02
-8244001.22197483,522624.395282955,36,36,DEI-017/CAM-01,AUTONORTE - CL 100 (N-S) C. LEN,-74.057123,4.68957,AUTP. NORTE - CL 102 A (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 100,(Norte - Sur),Lenta,3,Suba,C.29 - C.14 - C.35 - D.02
-8243990.20134524,522623.054962067,37,37,DEI-017/CAM-02,AUTONORTE - CL 100 (N-S) C. RAP,-74.057024,4.689558,AUTP. NORTE - CL 102 A (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 100,(Norte - Sur),Rápida,3,Suba,C.29 - C.14 - C.35 - D.02
-8243933.98500239,522650.978318673,38,38,DEI-017/CAM-03,AUTONORTE - CL 100 (S-N) C. RAP,-74.056519,4.689808,AUTP. NORTE - CL 103 (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 100,(Sur - Norte),Rápida,3,Usaquén,C.29 - C.14 - C.35 - D.02
-8243914.83804997,522648.297676005,39,39,DEI-017/CAM-04,AUTONORTE - CL 100 (S-N) C. LEN,-74.056347,4.689784,AUTP. NORTE - CL 103 (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 100,(Sur - Norte),Lenta,3,Usaquén,C.29 - C.14 - C.35 - D.02
-8247808.79383792,510436.350074678,40,40,DEI-018/CAM-01,CL 11 SUR - AK 10 (N-S),-74.091327,4.580441,AK 10 - CL 13 SUR (N-S),MT-No. 2024000013091 Enero 20 de 2020,30,Av. Carrera 10,CL 11 Sur,(Norte - Sur),Única,2,Antonio Nariño,C.29 - C.14 - C.35 - D.02
-8247781.63188217,510419.710328219,41,41,DEI-018/CAM-02,CL 11 SUR - AK 10 (S-N),-74.091083,4.580292,AK 10 - CL 13 SUR (S-N),MT-No. 2024000013091 Enero 20 de 2020,30,Av. Carrera 10,CL 11 Sur,(Sur - Norte),Única,2,San Cristóbal,C.29 - C.14 - C.35 - D.02
-8245883.96852261,520150.983903586,42,42,DEI-019/CAM-01,NQS - AC 72 (N-S),-74.074036,4.667425,NQS - AC 72 (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. NQS,AC 72,(Norte - Sur),Única,4,Barrios Unidos,C.29 - C.14 - C.35 - D.02
-8245674.35392145,520301.542000385,43,43,DEI-019/CAM-02,NQS - AC 72 (S-N),-74.072153,4.668773,NQS - AC 73 (S-N),MT-No. 2024000013091 Enero 20 de 2020,50,Av. NQS,AC 72,(Sur - Norte),Única,4,Barrios Unidos,C.29 - C.14 - C.35 - D.02
-8249082.84541005,523880.621169038,44,44,DEI-020/CAM-01,AV CIUDAD DE CALI - AC 80 (N-S),-74.102772,4.700817,AK 86 - CL 75A (S-N),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Ciudad de Cali,AC 80,(Norte - Sur),Única,3,Engativá,C.29 - C.14 - C.35 - D.02
-8249102.54895992,523844.431929708,45,45,DEI-020/CAM-02,AV CIUDAD DE CALI - AC 80 (S-N),-74.102949,4.700493,AK 86 - CL 76 (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Ciudad de Cali,AC 80,(Sur - Norte),Única,3,Engativá,C.29 - C.14 - C.35 - D.02
-8244877.64032584,517838.702466994,46,46,DEI-021/CAM-01,AV CARACAS - CL 60 (S-N),-74.064996,4.646722,AV CARACAS - CL 59A (S-N),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Caracas,CL 60,(Sur - Norte),Única,2,Chapinero,D.04 - C.29 - C.14 - C.35 - D.02
-8244900.57214095,517920.568778568,47,47,DEI-021/CAM-02,AV CARACAS - CL 60 (N-S),-74.065202,4.647455,AV CARACAS - CL 59A (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Caracas,CL 60,(Norte - Sur),Única,2,Teusaquillo,D.04 - C.29 - C.14 - C.35 - D.02
-8242868.88011448,529451.284702335,48,48,DEI-022/CAM-01,AUTONORTE - CL 170 (N-S) CAM 1,-74.046951,4.750689,AUTP. NORTE - CL 169 (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 170,(Norte - Sur),Lenta,2,Suba,C.29 - C.14 - C.35 - D.02
-8242868.88011448,529451.284702335,49,49,DEI-022/CAM-02,AUTONORTE - CL 170 (N-S) CAM 2,-74.046951,4.750689,AUTP. NORTE - CL 169 (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 170,(Norte - Sur),Rápida,3,Suba,C.29 - C.14 - C.35 - D.02
-8242701.67823931,529969.030991056,50,50,DEI-022/CAM-03,AUTONORTE - CL 170 (S-N) CAM 3,-74.045449,4.755324,AUTP. NORTE - CL 172A (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 170,(Sur - Norte),Lenta,3,Usaquén,C.29 - C.14 - C.35 - D.02
-8242701.67823931,529969.030991056,51,51,DEI-022/CAM-04,AUTONORTE - CL 170 (S-N) CAM 4,-74.045449,4.755324,AUTP. NORTE - CL 172A (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 170,(Sur - Norte),Rápida,3,Usaquén,C.29 - C.14 - C.35 - D.02
