index,archivo,latitud,longitud
75,79b5ca3752da4a93999c85e6ac067467.jpg,,
76,915823ac9d0549759de54b92e9392589.jpeg,,
77,d9c778c0a5184d199c6fa75e337b6316.jpg,4.595386944444444,-74.07454472222221
78,e42c53d7298a49b385651e33b69a41df.jpeg,4.6661472222222224,-74.07894166666667
79,c88953486897485fb6996fb99ea7c088.jpeg,4.6657472222222225,-74.07926111111111
80,b8840a577bee455b9644bcc518fd0db8.jpeg,,
81,2dbe2022cc6140249304694988f8ae9d.jpeg,4.6657472222222225,-74.07926111111111
82,b16d152972e0430891bf7b3d2fed88b2.jpeg,,
83,67fd3279392145f08d88f9a4e83abf21.jpeg,,
84,6df05012ddc04521b0fb6540d8345782.jpeg,,
85,09155acd7b5e4a1da9de0751e477752b.jpeg,4.738452777777778,-74.05750277777777
86,024dc6c7288041fbb83b9292b63ac0da.jpg,4.585788055555556,-74.13154499999999
87,e3e00027e5f540f7bbc8e9130c412b55.jpg,4.600570555555556,-74.07158083333333
88,d0c10e86a6d242c5a826af6f22efe2ed.jpeg,,
89,e2609e2f04244302872fdc3a8d2dd6c4.jpeg,4.696697222222222,-74.078575
90,7137031ef87a4daf8f1cec10a94914db.jpg,,
91,2811497f15044415b8409e22fa63043d.jpg,,
92,6ace3c706bd84732b4aa84cf715cab46.jpg,,
93,50bce00aaf89461dbbb7e1f9919768a3.jpeg,,
94,d0a9dc8a0bd245ca847b1708e0af3a87.jpg,,
95,8c427db87c8d4d07a649c8f0fe8543e2.jpeg,,
96,2699994b7f554dfa86e7a0a269ddf349.jpg,,
97,607663fbab2a4d51a7b24b5b76dd8646.jpg,4.585388055555555,-74.13311972222222
98,cf12ff9a8ed947f19e19d450cb041f44.jpeg,,
99,12c4977d35e9400d963b9d6df80297c3.jpeg,,
100,f68de8d0637c4f23b3b0b25bb6e2d651.jpg,,
101,1b7e9eb034ba4fafb139420d805b3c62.jpeg,,
102,30b3d525a7104fcb80538213351b41aa.jpg,,
103,000bc4423c5e49589b668b8e93094d68.jpeg,,
104,9db0fae6331e4d38ac1c41feaffeb413.jpeg,,
105,5687dfdd30b34cb4a7140f86fcb3b445.jpeg,4.697627777777778,-74.07688055555555
106,d9702074e98b49b9938aa2440cd73965.jpeg,4.738452777777778,-74.05750277777777
107,c70b0dfae5844682810f7fe0a1904212.jpeg,,
108,f6fd14e2f2624508b22abbda44a62b88.jpeg,,
109,461d9efc013146b498bf77a072409a57.jpeg,,
110,5948901bd0484b1583a1e7f3315f2539.jpeg,,
111,212e8eb344374d3eb0c1b28156d6c7f3.jpg,,
112,599b462ed60b4010abe8fc95d7842e3b.jpg,,
113,d66208f053f14e2f95d9a1e2c46f3bd4.jpg,4.599821111111111,-74.07312277777777
114,3e3243a5e2614d19b11c09c9458fa8c2.jpg,,
115,a2bcdd9296404e8895e90d7570bbe553.jpg,4.585351666666666,-74.13319805555555
116,f0df934bb56c4b529705a065a80050bf.jpeg,,
117,17346f4fe1c94147b917fe2b6fba35a5.jpg,4.6291302777777785,-74.07243666666666
118,26cc0550cd6343a0987121635611ae85.jpg,4.601118055555555,-74.06825555555555
119,2c48d01b1fb5489e80ce41fd2793df1c.jpg,,
120,11082e89acca4029acc23bfa2a5662c5.jpeg,4.704625,-74.03646111111111
121,308cba80c60543f89d65d3bba0c54100.jpeg,,
122,664196b6a3e246a58d85dc9dc8f30a93.jpg,4.585319722222222,-74.13646166666668
123,378f9b3ab0ac449ba6e6d91541a2a150.jpeg,4.738733333333333,-74.06116388888888
124,76752027bf9b41548b35c4ee44730072.jpeg,4.696925,-74.07775833333334
125,e5e4b74cde6f4b16a04e9e69caa916c7.jpeg,,
126,3ef7fe35bdd64eb1abd8d5cd21bc1fa8.jpeg,4.751644444444445,-74.08322777777778
127,2f04f04b82834e0b9da79df1d2de3222.jpeg,,
128,7c98b060098f4382b787df320da64600.jpeg,,
129,afb142f4bbad4ed0926f8bf6eb175e17.jpeg,4.751283333333333,-74.08271666666667
130,55075ff7832f40f6be89674409d7f54d.jpeg,,
131,35b3bd48ef7b461c8c50d2e567b905ae.jpeg,4.738683333333333,-74.05764722222222
132,a4072bec623b4919bffeb4f740187160.jpg,,
133,4340fcfaa921415f84face9def4d240d.jpg,,
134,a05e826e30a5451b93c97d0c8807b15e.jpeg,,
