archivo,ruta_completa,lat,lon,altitud,fecha_hora
IMG_2197.JPG,C:\Users\VALENTINA\Documents\prueba_exif\IMG_2197.JPG,4.6028806,-74.0646667,2645.9,2026-04-20 10:51:37
IMG_3086.JPG,C:\Users\VALENTINA\Documents\prueba_exif\IMG_3086.JPG,4.6029333,-74.0647806,2646.1,2026-03-26 08:51:04
TC_00003_anonymous.jpeg,C:\Users\VALENTINA\Documents\prueba_exif\TC_00003_anonymous.jpeg,4.6616611,-74.1115333,2542.7,2026-03-02 11:26:15
TC_00004_anonymous.jpeg,C:\Users\VALENTINA\Documents\prueba_exif\TC_00004_anonymous.jpeg,4.5569278,-74.1168972,2575.2,2026-03-24 19:31:07
